,sent_clean
152,a poor excuse for picking a man own pocket every twenty fifth of december said scrooge buttoning his great coat to the chin
153,but i suppose you must have the whole day be here all the earlier next morning
154,the clerk promised that he would and scrooge walked out with a growl
155,the office was closed in a twinkling and the clerk with the long ends of his white comforter dangling below his waist for he boasted no great coat went down a slide on cornhill at the end of a lane of boys twenty times in honour of its being christmas eve and then ran home to camden town as hard as he could pelt to play at blindman own buff
156,scrooge took his melancholy dinner in his usual melancholy tavern and having read all the newspapers and beguiled the rest of the evening with his banker own book went home to bed
157,he lived in chambers which had once belonged to his deceased partner
158,they were a gloomy suite of rooms in a lowering pile of building up a yard where it had so little business to be that one could scarcely help fancying it must have run there when it was a young house playing at hide and seek with other houses and forgotten the way out again
159,it was old enough now and dreary enough for nobody lived in it but scrooge the other rooms being all let out as offices
160,the yard was so dark that even scrooge who knew its every stone was fain to grope with his hands
161,the fog and frost so hung about the black old gateway of the house that it seemed as if the genius of the weather sat in mournful meditation on the threshold
162,now it is a fact that there was nothing at all particular about the knocker on the door except that it was very large
163,it is also a fact that scrooge had seen it night and morning during his whole residence in that place also that scrooge had as little of what is called fancy about him as any man in the city of london even including which is a bold word the corporation aldermen and livery
164,let it also be borne in mind that scrooge had not bestowed one thought on marley since his last mention of his seven years dead partner that afternoon
165,and then let any man explain to me if he can how it happened that scrooge having his key in the lock of the door saw in the knocker without its undergoing any intermediate process of change not a knocker but marley own face
166,marley own face
167,it was not in impenetrable shadow as the other objects in the yard were but had a dismal light about it like a bad lobster in a dark cellar
168,it was not angry or ferocious but looked at scrooge as marley used to look with ghostly spectacles turned up on its ghostly forehead
169,the hair was curiously stirred as if by breath or hot air and though the eyes were wide open they were perfectly motionless
170,that and its livid colour made it horrible but its horror seemed to be in spite of the face and beyond its control rather than a part of its own expression
171,as scrooge looked fixedly at this phenomenon it was a knocker again
172,to say that he was not startled or that his blood was not conscious of a terrible sensation to which it had been a stranger from infancy would be untrue
173,but he put his hand upon the key he had relinquished turned it sturdily walked in and lighted his candle
174,he did pause with a moment own irresolution before he shut the door and he did look cautiously behind it first as if he half expected to be terrified with the sight of marley own pigtail sticking out into the hall
175,but there was nothing on the back of the door except the screws and nuts that held the knocker on so he said pooh pooh and closed it with a bang
176,the sound resounded through the house like thunder
177,every room above and every cask in the wine merchant own cellars below appeared to have a separate peal of echoes of its own
178,scrooge was not a man to be frightened by echoes
179,he fastened the door and walked across the hall and up the stairs slowly too trimming his candle as he went
180,you may talk vaguely about driving a coach and six up a good old flight of stairs or through a bad young act of parliament but i mean to say you might have got a hearse up that staircase and taken it broadwise with the splinter bar towards the wall and the door towards the balustrades and done it easy
181,there was plenty of width for that and room to spare which is perhaps the reason why scrooge thought he saw a locomotive hearse going on before him in the gloom
182,half a dozen gas lamps out of the street would not have lighted the entry too well so you may suppose that it was pretty dark with scrooge own dip
183,up scrooge went not caring a button for that
184,darkness is cheap and scrooge liked it
185,but before he shut his heavy door he walked through his rooms to see that all was right
186,he had just enough recollection of the face to desire to do that
187,sitting room bedroom lumber room
188,all as they should be
189,nobody under the table nobody under the sofa a small fire in the grate spoon and basin ready and the little saucepan of gruel scrooge had a cold in his head upon the hob
190,nobody under the bed nobody in the closet nobody in his dressing gown which was hanging up in a suspicious attitude against the wall
191,lumber room as usual
192,old fire guard old shoes two fish baskets washing stand on three legs and a poker
193,quite satisfied he closed his door and locked himself in double locked himself in which was not his custom
194,thus secured against surprise he took off his cravat put on his dressing gown and slippers and his nightcap and sat down before the fire to take his gruel
195,it was a very low fire indeed nothing on such a bitter night
196,he was obliged to sit close to it and brood over it before he could extract the least sensation of warmth from such a handful of fuel
197,the fireplace was an old one built by some dutch merchant long ago and paved all round with quaint dutch tiles designed to illustrate the scriptures
198,there were cains and abels pharaoh own daughters queens of sheba angelic messengers descending through the air on clouds like feather beds abrahams belshazzars apostles putting off to sea in butter boats hundreds of figures to attract his thoughts and yet that face of marley seven years dead came like the ancient prophet own rod and swallowed up the whole
199,if each smooth tile had been a blank at first with power to shape some picture on its surface from the disjointed fragments of his thoughts there would have been a copy of old marley own head on every one
200,humbug said scrooge and walked across the room
201,after several turns he sat down again
202,as he threw his head back in the chair his glance happened to rest upon a bell a disused bell that hung in the room and communicated for some purpose now forgotten with a chamber in the highest story of the building
203,it was with great astonishment and with a strange inexplicable dread that as he looked he saw this bell begin to swing
204,it swung so softly in the outset that it scarcely made a sound but soon it rang out loudly and so did every bell in the house
205,this might have lasted half a minute or a minute but it seemed an hour
206,the bells ceased as they had begun together
207,they were succeeded by a clanking noise deep down below as if some person were dragging a heavy chain over the casks in the wine merchant own cellar
208,scrooge then remembered to have heard that ghosts in haunted houses were described as dragging chains
209,the cellar door flew open with a booming sound and then he heard the noise much louder on the floors below then coming up the stairs then coming straight towards his door
210,it is humbug still said scrooge
211,i will not believe it
212,his colour changed though when without a pause it came on through the heavy door and passed into the room before his eyes
213,upon its coming in the dying flame leaped up as though it cried i know him marley own ghost and fell again
214,the same face the very same
215,marley in his pigtail usual waistcoat tights and boots the tassels on the latter bristling like his pigtail and his coat skirts and the hair upon his head
216,the chain he drew was clasped about his middle
217,it was long and wound about him like a tail and it was made for scrooge observed it closely of cash boxes keys padlocks ledgers deeds and heavy purses wrought in steel
218,his body was transparent so that scrooge observing him and looking through his waistcoat could see the two buttons on his coat behind
219,scrooge had often heard it said that marley had no bowels but he had never believed it until now
220,no nor did he believe it even now
221,though he looked the phantom through and through and saw it standing before him though he felt the chilling influence of its death cold eyes and marked the very texture of the folded kerchief bound about its head and chin which wrapper he had not observed before he was still incredulous and fought against his senses
222,how now said scrooge caustic and cold as ever
223,what do you want with me
224,much marley own voice no doubt about it
225,who are you
226,ask me who i was
227,who were you then said scrooge raising his voice
228,you are particular for a shade
229,he was going to say to a shade but substituted this as more appropriate
230,in life i was your partner jacob marley
231,can you can you sit down asked scrooge looking doubtfully at him
232,i can
233,do it then
234,scrooge asked the question because he did not know whether a ghost so transparent might find himself in a condition to take a chair and felt that in the event of its being impossible it might involve the necessity of an embarrassing explanation
235,but the ghost sat down on the opposite side of the fireplace as if he were quite used to it
236,you do not believe in me observed the ghost
237,i do not said scrooge
238,what evidence would you have of my reality beyond that of your senses
239,i do not know said scrooge
240,why do you doubt your senses
241,because said scrooge a little thing affects them a slight disorder of the stomach makes them cheats you may be an undigested bit of beef a blot of mustard a crumb of cheese a fragment of an underdone potato there is more of gravy than of grave about you whatever you are
242,scrooge was not much in the habit of cracking jokes nor did he feel in his heart by any means waggish then
243,the truth is that he tried to be smart as a means of distracting his own attention and keeping down his terror for the spectre own voice disturbed the very marrow in his bones
244,to sit staring at those fixed glazed eyes in silence for a moment would play scrooge felt the very deuce with him
245,there was something very awful too in the spectre own being provided with an infernal atmosphere of its own
246,scrooge could not feel it himself but this was clearly the case for though the ghost sat perfectly motionless its hair and skirts and tassels were still agitated as by the hot vapour from an oven
247,you see this toothpick said scrooge returning quickly to the charge for the reason just assigned and wishing though it were only for a second to divert the vision own stony gaze from himself
248,i do replied the ghost
249,you are not looking at it said scrooge
250,but i see it said the ghost notwithstanding
251,well returned scrooge i have but to swallow this and be for the rest of my days persecuted by a legion of goblins all of my own creation humbug i tell you humbug
252,at this the spirit raised a frightful cry and shook its chain with such a dismal and appalling noise that scrooge held on tight to his chair to save himself from falling in a swoon
253,but how much greater was his horror when the phantom taking off the bandage round its head as if it were too warm to wear indoors its lower jaw dropped down upon its breast
254,scrooge fell upon his knees and clasped his hands before his face
255,mercy he said
256,dreadful apparition why do you trouble me
257,man of the worldly mind replied the ghost do you believe in me or not
258,i do said scrooge
259,i must but why do spirits walk the earth and why do they come to me
260,it is required of every man the ghost returned that the spirit within him should walk abroad among his fellowmen and travel far and wide and if that spirit goes not forth in life it is condemned to do so after death it is doomed to wander through the world oh woe is me and witness what it cannot share but might have shared on earth and turned to happiness
261,again the spectre raised a cry and shook its chain and wrung its shadowy hands
262,you are fettered said scrooge trembling
263,tell me why
264,i wear the chain i forged in life replied the ghost
265,i made it link by link and yard by yard i girded it on of my own free will and of my own free will i wore it is its pattern strange to you
266,scrooge trembled more and more
267,or would you know pursued the ghost the weight and length of the strong coil you bear yourself it was full as heavy and as long as this seven christmas eves ago you have laboured on it since it is a ponderous chain
268,scrooge glanced about him on the floor in the expectation of finding himself surrounded by some fifty or sixty fathoms of iron cable but he could see nothing
269,jacob he said imploringly
270,old jacob marley tell me more speak comfort to me jacob
271,i have none to give the ghost replied
272,it comes from other regions ebenezer scrooge and is conveyed by other ministers to other kinds of men nor can i tell you what i would a very little more is all permitted to me i cannot rest i cannot stay i cannot linger anywhere my spirit never walked beyond our counting house mark me in life my spirit never roved beyond the narrow limits of our money changing hole and weary journeys lie before me
273,it was a habit with scrooge whenever he became thoughtful to put his hands in his breeches pockets
274,pondering on what the ghost had said he did so now but without lifting up his eyes or getting off his knees
275,you must have been very slow about it jacob scrooge observed in a business like manner though with humility and deference
276,slow the ghost repeated
277,seven years dead mused scrooge
278,and travelling all the time
279,the whole time said the ghost
280,no rest no peace incessant torture of remorse
281,you travel fast said scrooge
282,on the wings of the wind replied the ghost
283,you might have got over a great quantity of ground in seven years said scrooge
284,the ghost on hearing this set up another cry and clanked its chain so hideously in the dead silence of the night that the ward would have been justified in indicting it for a nuisance
285,oh captive bound and double ironed cried the phantom not to know that ages of incessant labour by immortal creatures for this earth must pass into eternity before the good of which it is susceptible is all developed not to know that any christian spirit working kindly in its little sphere whatever it may be will find its mortal life too short for its vast means of usefulness not to know that no space of regret can make amends for one life own opportunity misused yet such was i oh such was i
286,but you were always a good man of business jacob faltered scrooge who now began to apply this to himself
287,business cried the ghost wringing its hands again
288,mankind was my business the common welfare was my business charity mercy forbearance and benevolence were all my business the dealings of my trade were but a drop of water in the comprehensive ocean of my business
289,it held up its chain at arm own length as if that were the because of all its unavailing grief and flung it heavily upon the ground again
290,at this time of the rolling year the spectre said i suffer most why did i walk through crowds of fellow beings with my eyes turned down and never raise them to that blessed star which led the wise men to a poor abode were there no poor homes to which its light would have conducted me
291,scrooge was very much dismayed to hear the spectre going on at this rate and began to quake exceedingly
292,hear me cried the ghost
293,my time is nearly gone
294,i will said scrooge
295,but do not be hard upon me do not be flowery jacob pray
296,how it is that i appear before you in a shape that you can see i may not tell i have sat invisible beside you many and many a day
297,it was not an agreeable idea
298,scrooge shivered and wiped the perspiration from his brow
299,that is no light part of my penance pursued the ghost
300,i am here to night to warn you that you have yet a chance and hope of escaping my fate a chance and hope of my procuring ebenezer
301,you were always a good friend to me said scrooge
302,thankee
303,you will be haunted resumed the ghost by three spirits
304,scrooge own countenance fell almost as low as the ghost own had done
305,is that the chance and hope you mentioned jacob he demanded in a faltering voice
306,it is
307,i i think I would rather not said scrooge
308,without their visits said the ghost you cannot hope to shun the path i tread expect the first to morrow when the bell tolls one
309,could not i take them all at once and have it over jacob hinted scrooge
310,expect the second on the next night at the same hour the third upon the next night when the last stroke of twelve has ceased to vibrate look to see me no more and look that for your own sake you remember what has passed between us
311,when it had said these words the spectre took its wrapper from the table and bound it round its head as before
312,scrooge knew this by the smart sound its teeth made when the jaws were brought together by the bandage
313,he ventured to raise his eyes again and found his supernatural visitor confronting him in an erect attitude with its chain wound over and about its arm
314,the apparition walked backward from him and at every step it took the window raised itself a little so that when the spectre reached it it was wide open
315,it beckoned scrooge to approach which he did
316,when they were within two paces of each other marley own ghost held up its hand warning him to come no nearer
317,scrooge stopped
318,not so much in obedience as in surprise and fear for on the raising of the hand he became sensible of confused noises in the air incoherent sounds of lamentation and regret wailings inexpressibly sorrowful and self accusatory
319,the spectre after listening for a moment joined in the mournful dirge and floated out upon the bleak dark night
320,scrooge followed to the window desperate in his curiosity
321,he looked out
322,the air was filled with phantoms wandering hither and thither in restless haste and moaning as they went
323,every one of them wore chains like marley own ghost some few they might be guilty governments were linked together none were free
324,many had been personally known to scrooge in their lives
325,he had been quite familiar with one old ghost in a white waistcoat with a monstrous iron safe attached to its ankle who cried piteously at being unable to assist a wretched woman with an infant whom it saw below upon a door step
326,the misery with them all was clearly that they sought to interfere for good in human matters and had lost the power for ever
327,whether these creatures faded into mist or mist enshrouded them he could not tell
328,but they and their spirit voices faded together and the night became as it had been when he walked home
329,scrooge closed the window and examined the door by which the ghost had entered
330,it was double locked as he had locked it with his own hands and the bolts were undisturbed
331,he tried to say humbug but stopped at the first syllable
332,and being from the emotion he had undergone or the fatigues of the day or his glimpse of the invisible world or the dull conversation of the ghost or the lateness of the hour much in need of repose went straight to bed without undressing and fell asleep upon the instant
333,the first of the three spirits
334,when scrooge awoke it was so dark that looking out of bed he could scarcely distinguish the transparent window from the opaque walls of his chamber
335,he was endeavouring to pierce the darkness with his ferret eyes when the chimes of a neighbouring church struck the four quarters
336,so he listened for the hour
337,to his great astonishment the heavy bell went on from six to seven and from seven to eight and regularly up to twelve then stopped
338,twelve
339,it was past two when he went to bed
340,the clock was wrong
341,an icicle must have got into the works
342,twelve
343,he touched the spring of his repeater to correct this most preposterous clock
344,its rapid little pulse beat twelve and stopped
345,why it is not possible said scrooge that i can have slept through a whole day and far into another night it is not possible that anything has happened to the sun and this is twelve at noon
346,the idea being an alarming one he scrambled out of bed and groped his way to the window
347,he was obliged to rub the frost off with the sleeve of his dressing gown before he could see anything and could see very little then
348,all he could make out was that it was still very foggy and extremely cold and that there was no noise of people running to and fro and making a great stir as there unquestionably would have been if night had beaten off bright day and taken possession of the world
349,this was a great relief because three days after sight of this first of exchange pay to mr ebenezer scrooge or his order and so forth would have become a mere united states security if there were no days to count by
350,scrooge went to bed again and thought and thought and thought it over and over and over and could make nothing of it
351,the more he thought the more perplexed he was and the more he endeavoured not to think the more he thought
352,marley own ghost bothered him exceedingly
353,every time he resolved within himself after mature inquiry that it was all a dream his mind flew back again like a strong spring released to its first position and presented the same problem to be worked all through was it a dream or not
354,scrooge lay in this state until the chime had gone three quarters more when he remembered on a sudden that the ghost had warned him of a visitation when the bell tolled one
355,he resolved to lie awake until the hour was passed and considering that he could no more go to sleep than go to heaven this was perhaps the wisest resolution in his power
356,the quarter was so long that he was more than once convinced he must have sunk into a doze unconsciously and missed the clock
357,at length it broke upon his listening ear
358,ding dong
359,a quarter past said scrooge counting
360,ding dong
361,half past said scrooge
362,ding dong
363,a quarter to it said scrooge
364,ding dong
365,the hour itself said scrooge triumphantly and nothing else
366,he spoke before the hour bell sounded which it now did with a deep dull hollow melancholy one
367,light flashed up in the room upon the instant and the curtains of his bed were drawn
368,the curtains of his bed were drawn aside i tell you by a hand
369,not the curtains at his feet nor the curtains at his back but those to which his face was addressed
370,the curtains of his bed were drawn aside and scrooge starting up into a half recumbent attitude found himself face to face with the unearthly visitor who drew them as close to it as i am now to you and i am standing in the spirit at your elbow
371,it was a strange figure like a child yet not so like a child as like an old man viewed through some supernatural medium which gave him the appearance of having receded from the view and being diminished to a child own proportions
372,its hair which hung about its neck and down its back was white as if with age and yet the face had not a wrinkle in it and the tenderest bloom was on the skin
373,the arms were very long and muscular the hands the same as if its hold were of uncommon strength
374,its legs and feet most delicately formed were like those upper members bare
375,it wore a tunic of the purest white and round its waist was bound a lustrous belt the sheen of which was beautiful
376,it held a branch of fresh green holly in its hand and in singular contradiction of that wintry emblem had its dress trimmed with summer flowers
377,but the strangest thing about it was that from the crown of its head there sprung a bright clear jet of light by which all this was visible and which was doubtless the occasion of its using in its duller moments a great extinguisher for a cap which it now held under its arm
378,even this though when scrooge looked at it with increasing steadiness was not its strangest quality
379,for as its belt sparkled and glittered now in one part and now in another and what was light one instant at another time was dark so the figure itself fluctuated in its distinctness being now a thing with one arm now with one leg now with twenty legs now a pair of legs without a head now a head without a body of which dissolving parts no outline would be visible in the dense gloom wherein they melted away
380,and in the very wonder of this it would be itself again distinct and clear as ever
381,are you the spirit sir whose coming was foretold to me asked scrooge
382,i am
383,the voice was soft and gentle
384,singularly low as if instead of being so close beside him it were at a distance
385,who and what are you
386,scrooge demanded
387,i am the ghost of christmas past
388,long past inquired scrooge observant of its dwarfish stature
389,no your past
390,perhaps scrooge could not have told anybody why if anybody could have asked him but he had a special desire to see the spirit in his cap and begged him to be covered
391,what exclaimed the ghost would you so soon put out with worldly hands the light i give is it not enough that you are one of those whose passions made this cap and force me through whole trains of years to wear it low upon my brow
392,scrooge reverently disclaimed all intention to offend or any knowledge of having wilfully bonneted the spirit at any period of his life
393,he then made bold to inquire what business brought him there
394,your welfare said the ghost
395,scrooge expressed himself much obliged but could not help thinking that a night of unbroken rest would have been more conducive to that end
396,the spirit must have heard him thinking for it said immediately
397,your reclamation then take heed
398,it put out its strong hand as it spoke and clasped him gently by the arm
399,rise and walk with me
400,it would have been in vain for scrooge to plead that the weather and the hour were not adapted to pedestrian purposes that bed was warm and the thermometer a long way below freezing that he was clad but lightly in his slippers dressing gown and nightcap and that he had a cold upon him at that time
401,the grasp though gentle as a woman own hand was not to be resisted
402,he rose but finding that the spirit made towards the window clasped his robe in supplication
403,i am a mortal scrooge remonstrated and liable to fall
404,bear but a touch of my hand there said the spirit laying it upon his heart and you shall be upheld in more than this
405,as the words were spoken they passed through the wall and stood upon an open country road with fields on either hand
406,the city had entirely vanished
407,not a vestige of it was to be seen
408,the darkness and the mist had vanished with it for it was a clear cold winter day with snow upon the ground
409,good heaven said scrooge clasping his hands together as he looked about him
410,i was bred in this place i was a boy here
411,the spirit gazed upon him mildly
412,its gentle touch though it had been light and instantaneous appeared still present to the old man own sense of feeling
413,he was conscious of a thousand odours floating in the air each one connected with a thousand thoughts and hopes and joys and cares long long forgotten
414,your lip is trembling said the ghost
415,and what is that upon your cheek
