,sent_no,sent_raw,syuzhet,bing,afinn,nrc,char_len,token_len,sent_clean,syuzhet_stdscaler,syuzhet_medianiqr,syuzhet_lnorm_stdscaler,syuzhet_lnorm_medianiqr,bing_stdscaler,bing_medianiqr,bing_lnorm_stdscaler,bing_lnorm_medianiqr,afinn_stdscaler,afinn_medianiqr,afinn_lnorm_stdscaler,afinn_lnorm_medianiqr,nrc_stdscaler,nrc_medianiqr,nrc_lnorm_stdscaler,nrc_lnorm_medianiqr,syuzhet_roll10,bing_roll10,afinn_roll10,nrc_roll10,mean_roll10,syuzhet_roll10_stdscale,bing_roll10_stdscale,afinn_roll10_stdscale,nrc_roll10_stdscale,syuzhet_roll100,syuzhet_stdscaler_roll10,bing_roll100,bing_stdscaler_roll10,afinn_roll100,afinn_stdscaler_roll10,nrc_roll100,nrc_stdscaler_roll10
17,18,"17,The mention of Marley's funeral brings me back to the point I started from.",-0.8,0,-1,0,78,14,mention of marley own funeral brings me back to the point i started from,-0.8306179160227127,-0.6666666666666667,-0.785889249140533,-0.9830429887274084,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.49040866325509813,-0.5,-0.4199046891068221,-0.6577517293934048,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
18,19,"18,There is no doubt that Marley was dead.",-1.75,-2,-5,-1,42,8,is no doubt that marley was dead,-1.6711971753617718,-1.4583333333333335,-2.747440074920383,-3.7611979519544683,-1.5622527554870347,-2.0,-2.5450062254857055,-12.54775439267228,-1.9219824136857342,-2.5,-3.052519485406111,-5.752248270163296,-0.8677718098578093,-1.0,-1.4247752417575679,-2.5493740863096805,,,,,,,,,,,,,,,,,
19,20,"19,""This must be distinctly understood, or nothing wonderful can come of the story I am going to relate.""",0.75,1,4,1,105,18,must be distinctly understood or nothing wonderful can come of the story i am going to relate,0.5408535071094364,0.625,0.41438783935629236,0.7169158942291256,0.7669745321787148,1.0,0.5393014016621284,2.790325171718627,1.2990585247831967,2.0,0.9776196970017963,2.0466633489842527,0.5236468285273771,1.0,0.41132475020659204,1.1338415564320121,,,,,,,,,,,,,,,,,
20,21,"20,""If we were not perfectly convinced that Hamlet's Father died before the play began, there would be nothing more remarkable in his taking a stroll at night, in an easterly wind, upon his own ramparts, than there would be in any other middle-aged gentleman rashly turning out after dark in a breezy spot--say Saint Paul's Churchyard for instance-- literally to astonish his son's weak mind.""",2.0,1,1,3,393,65,we were not perfectly convinced that hamlet own father died before the play began there would be nothing more remarkable in his taking a stroll at night in an easterly wind upon his own ramparts than there would be in any other middle aged gentleman rashly turning out after dark in a breezy spot say saint paul own churchyard for instance literally to astonish his son own weak mind,1.6468788483450405,1.6666666666666667,0.28215050824908133,0.5296274523946696,0.7669745321787148,1.0,0.13364418140382017,0.7730157874581215,0.22537821196021987,0.5,-0.006757403171098341,0.14174898829105675,1.9150654669125637,3.0,0.3158598491801613,0.9423390139058856,,,,,,,,,,,,,,,,,
21,22,"21,Scrooge never painted out Old Marley's name.",0.0,0,0,0,47,7,never painted out old marley own name,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
22,23,"22,""There it stood, years afterwards, above the warehouse door: Scrooge and Marley.""",0.0,0,0,0,84,12,it stood years afterwards above the warehouse door scrooge and marley,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
23,24,"23,The firm was known as Scrooge and Marley.",0.0,0,0,0,44,8,firm was known as scrooge and marley,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
24,25,"24,""Sometimes people new to the business called Scrooge Scrooge, and sometimes Marley, but he answered to both names.""",0.8,0,0,0,118,18,people new to the business called scrooge scrooge and sometimes marley but he answered to both names,0.5850945207588606,0.6666666666666667,0.448133664264162,0.7647102871777339,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
25,26,"25,It was all the same to him.",0.0,0,0,0,30,7,was all the same to him,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
26,27,"26,""But he was a tight-fisted hand at the grind-stone, Scrooge! a squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner!""",-2.3,-2,-2,-3,141,19,he was a tight fisted hand at the grind stone scrooge a squeezing wrenching grasping scraping clutching covetous old sinner,-2.1578483255054377,-1.9166666666666665,-1.56245003942607,-2.0828902042190474,-1.5622527554870347,-2.0,-1.0849711840668428,-5.287086411641503,-0.8483021008627571,-1.0,-0.5810029006002463,-0.9695004449028511,-2.259190448242996,-3.0,-1.7603770943637207,-3.2225912306166027,,,,,,,,,,,,,,,,,
27,28,"27,""Hard and sharp as flint, from which no steel had ever struck out generous fire; secret, and self-contained, and solitary as an oyster.""",-0.25,0,-3,1,139,23,and sharp as flint from which no steel had ever struck out generous fire secret and self contained and solitary as an oyster,-0.3439667658790469,-0.20833333333333334,-0.2238643553375307,-0.18704411495098583,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-1.2061955384704162,-1.5,-0.7008630358822661,-1.2014474222687876,0.5236468285273771,1.0,0.2885030971570297,0.8874613833698627,,,,,,,,,,,,,,,,,
28,29,"28,""The cold within him froze his old features, nipped his pointed nose, shrivelled his cheek, stiffened his gait; made his eyes red, his thin lips blue; and spoke out shrewdly in his grating voice.""",-1.35,-3,0,-3,199,34,cold within him froze his old features nipped his pointed nose shrivelled his cheek stiffened his gait made his eyes red his thin lips blue and spoke out shrewdly in his grating voice,-1.3172690661663784,-1.1250000000000002,-0.5742923974769765,-0.6833572319647103,-2.3386618513756177,-3.0,-0.9131945158508123,-4.432851191648264,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-2.259190448242996,-3.0,-1.051845810666473,-1.8012778386951376,,,,,,,,,,,,,,,,,
29,30,"29,""A frosty rime was on his head, and on his eyebrows, and his wiry chin.""",0.0,0,0,0,75,15,frosty rime was on his head and on his eyebrows and his wiry chin,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
30,31,"30,He carried his own low temperature always about with him; he iced his office in the dog-days; and didn't thaw it one degree at Christmas.",0.0,0,0,1,140,25,carried his own low temperature always about with him he iced his office in the dog days and did not thaw it one degree at christmas,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,0.5236468285273771,1.0,0.25312496086878306,0.8164928601095778,,,,,,,,,,,,,,,,,
31,32,"31,External heat and cold had little influence on Scrooge.",-0.5,-1,0,-1,58,9,heat and cold had little influence on scrooge,-0.5651718341261678,-0.4166666666666667,-0.7663414949617883,-0.9553573995609732,-0.7858436595984516,-1.0,-1.143380688026824,-5.5775534231578785,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.8677718098578093,-1.0,-1.2837236607775375,-2.2664246871632123,,,,,,,,,,,,,,,,,
32,33,"32,""No warmth could warm, no wintry weather chill him.""",0.9,1,2,0,55,9,warmth could warm no wintry weather chill him,0.6735765480577088,0.75,1.1223759949983123,1.7196433192097518,0.7669745321787148,1.0,1.0997802620322459,5.5775534231578785,0.5832716495678789,1.0,0.9770327786733917,2.0455275757606217,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
33,34,"33,""No wind that blew was bitterer than he, no falling snow was more intent upon its purpose, no pelting rain less open to entreaty.""",-0.75,-1,-2,-1,133,24,wind that blew was bitterer than he no falling snow was more intent upon its purpose no pelting rain less open to entreaty,-0.7863769023732885,-0.625,-0.4714927703659166,-0.5377615683076449,-0.7858436595984516,-1.0,-0.4426848477334868,-2.0930344166036017,-0.8483021008627571,-1.0,-0.47667225299166693,-0.7676053085215826,-0.8677718098578093,-1.0,-0.577878285735861,-0.8504992266280941,,,,,,,,,,,,,,,,,
34,35,"34,Foul weather didn't know where to have him.",-0.75,-1,-3,-1,46,8,weather did not know where to have him,-0.7863769023732885,-0.625,-1.2299311945440228,-1.611941979409058,-0.7858436595984516,-1.0,-1.2834032192414975,-6.27387719633614,-1.2061955384704162,-1.5,-1.863514543557206,-3.4513489620979776,-0.8677718098578093,-1.0,-1.4247752417575679,-2.5493740863096805,,,,,,,,,,,,,,,,,
35,36,"35,""The heaviest rain, and snow, and hail, and sleet, could boast of the advantage over him in only one respect.""",1.15,3,6,1,113,20,heaviest rain and snow and hail and sleet could boast of the advantage over him in only one respect,0.8947816163048297,0.9583333333333333,0.6067778296356411,0.9893988701200422,2.319792723955881,3.0,1.4932582697637466,7.534296303246248,2.0148453999985145,3.0,1.3478683690976703,2.7631489441683956,0.5236468285273771,1.0,0.35483047261198075,1.0205140645347597,,,,,,,,,,,,,,,,,
36,37,"36,""They often """"came down"""" handsomely, and Scrooge never did.""",1.0,1,0,0,64,9,often came down handsomely and scrooge never did,0.7620585753565572,0.8333333333333334,1.2572843871383195,1.9107147991219464,0.7669745321787148,1.0,1.0997802620322459,5.5775534231578785,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
37,38,"37,""Nobody ever stopped him in the street to say, with gladsome looks, """"My dear Scrooge, how are you? When will you come to see me?""""""",0.1,0,1,1,135,25,ever stopped him in the street to say with gladsome looks my dear scrooge how are you when will you come to see me,-0.034279670333077744,0.08333333333333334,-0.04319799035205757,0.06883462750935121,-0.009434563709868416,0.0,-0.021800212997289025,0.0,0.22537821196021987,0.5,0.11039529992806167,0.368456686477473,0.5236468285273771,1.0,0.25312496086878306,0.8164928601095778,,,,,,,,,,,,,,,,,
38,39,"38,""No beggars implored him to bestow a trifle, no children asked him what it was o'clock, no man or woman ever once in all his life inquired the way to such and such a place, of Scrooge.""",-0.1,0,-1,-1,188,37,beggars implored him to bestow a trifle no children asked him what it was of the clock no man or woman ever once in all his life inquired the way to such and such a place of scrooge,-0.2112437249307744,-0.08333333333333334,-0.12464267430988696,-0.046515915536581305,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.49040866325509813,-0.5,-0.20867410706336353,-0.24898950901922723,-0.8677718098578093,-1.0,-0.42895336674345974,-0.5517559154644837,,,,,,,,,,,,,,,,,
39,40,"39,""Even the blind men's dogs appeared to know him; and when they saw him coming on, would tug their owners into doorways and up courts; and then would wag their tails as though they said, """"No eye at all is better than an evil eye, dark master!""""""",-1.3,-1,-3,-1,248,47,the blind men own dogs appeared to know him and when they saw him coming on would tug their owners into doorways and up courts and then would wag their tails as though they said no eye at all is better than an evil eye dark master,-1.2730280525169544,-1.0833333333333335,-0.4279369512232295,-0.47607322786886536,-0.7858436595984516,-1.0,-0.23676383946008653,-1.0690014112455326,-1.2061955384704162,-1.5,-0.3838976727177898,-0.5880728608041864,-0.8677718098578093,-1.0,-0.3704439284077938,-0.4343860121535959,,,,,,,,,,,,,,,,,
40,41,"40,But what did Scrooge care!",1.0,0,2,0,29,5,what did scrooge care,0.7620585753565572,0.8333333333333334,2.3343972984357824,3.4362355968240994,-0.009434563709868416,0.0,-0.021800212997289025,0.0,0.5832716495678789,1.0,1.8209768181602095,3.678683324870898,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
41,42,"41,It was the very thing he liked.",0.5,1,2,0,34,7,was the very thing he liked,0.31964843886231553,0.4166666666666667,0.7751937704325877,1.227927271047699,0.7669745321787148,1.0,1.4197746914272629,7.168866810649427,0.5832716495678789,1.0,1.2786133519850151,2.6291303077893295,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
42,43,"42,""To edge his way along the crowded paths of life, warning all human sympathy to keep its distance, was what the knowing ones call """"nuts"""" to Scrooge.""",-0.5,-2,-4,2,154,27,edge his way along the crowded paths of life warning all human sympathy to keep its distance was what the knowing ones call nuts to scrooge,-0.5651718341261678,-0.4166666666666667,-0.31681334640197156,-0.31868826990167964,-1.5622527554870347,-2.0,-0.7700741915249535,-3.721122276390409,-1.5640889760780752,-2.0,-0.7852222055124471,-1.3646948135952017,1.2193561477199704,2.0,0.5998726761036715,1.512068599136656,,,,,,,,,,,,,,,,,
43,44,"43,""Once upon a time--of all the good days in the year, on Christmas Eve--old Scrooge sat busy in his counting-house.""",0.75,1,3,1,118,20,upon a time of all the good days in the year on christmas eve old scrooge sat busy in his counting house,0.5408535071094364,0.625,0.3637943987148086,0.645260132686984,0.7669745321787148,1.0,0.4832192812563895,2.511432101082083,0.9411650871755378,1.5,0.6339306191569111,1.3815744720841978,0.5236468285273771,1.0,0.35483047261198075,1.0205140645347597,,,,,,,,,,,,,,,,,
44,45,"44,""It was cold, bleak, biting weather: foggy withal: and he could hear the people in the court outside, go wheezing up and down, beating their hands upon their breasts, and stamping their feet upon the pavement stones to warm them.""",-2.0,-2,0,-3,233,40,was cold bleak biting weather foggy withal and he could hear the people in the court outside go wheezing up and down beating their hands upon their breasts and stamping their feet upon the pavement stones to warm them,-1.8924022436088928,-1.6666666666666667,-0.6994099382514872,-0.8605618765353031,-1.5622527554870347,-2.0,-0.5269459305687016,-2.512059802182079,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-2.259190448242996,-3.0,-0.9171876781687506,-1.531153693927059,,,,,,,,,,,,,,,,,
45,46,"45,""The city clocks had only just gone three, but it was quite dark already-- it had not been light all day--and candles were flaring in the windows of the neighbouring offices, like ruddy smears upon the palpable brown air.""",-0.1,0,2,0,225,39,city clocks had only just gone three but it was quite dark already it had not been light all day and candles were flaring in the windows of the neighbouring offices like ruddy smears upon the palpable brown air,-0.2112437249307744,-0.08333333333333334,-0.12295884246942888,-0.04413109546292935,-0.009434563709868416,0.0,-0.021800212997289025,0.0,0.5832716495678789,1.0,0.1641335917029432,0.47244817886703927,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
46,47,"46,""The fog came pouring in at every chink and keyhole, and was so dense without, that although the court was of the narrowest, the houses opposite were mere phantoms.""",0.0,-1,0,0,168,29,fog came pouring in at every chink and keyhole and was so dense without that although the court was of the narrowest the houses opposite were mere phantoms,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.7858436595984516,-1.0,-0.3701435456417602,-1.7322908080886756,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
47,48,"47,""To see the dingy cloud come drooping down, obscuring everything, one might have thought that Nature lived hard by, and was brewing on a large scale.""",-1.1,-2,-1,-1,153,26,see the dingy cloud come drooping down obscuring everything one might have thought that nature lived hard by and was brewing on a large scale,-1.0960639979192577,-0.9166666666666667,-0.6058622311089692,-0.7280697567896044,-1.5622527554870347,-2.0,-0.7988428950438948,-3.864187338919837,-0.49040866325509813,-0.5,-0.26308920660487334,-0.35429072390625144,-0.8677718098578093,-1.0,-0.5452771485879666,-0.7851013622199362,,,,,,,,,,,,,,,,,
48,49,"48,""The door of Scrooge's counting-house was open that he might keep his eye upon his clerk, who in a dismal little cell beyond, a sort of tank, was copying letters.""",-0.75,-2,-2,-1,166,30,door of scrooge own counting house was open that he might keep his eye upon his clerk who in a dismal little cell beyond a sort of tank was copying letters,-0.7863769023732885,-0.625,-0.39557942759267484,-0.4302450934710614,-1.5622527554870347,-2.0,-0.6952717278267531,-3.3491340448285554,-0.8483021008627571,-1.0,-0.39736566407974044,-0.6141354034522891,-0.8677718098578093,-1.0,-0.4931109837815057,-0.6804560623572322,,,,,,,,,,,,,,,,,
49,50,"49,""Scrooge had a very small fire, but the clerk's fire was so very much smaller that it looked like one coal.""",0.25,1,0,-1,111,21,had a very small fire but the clerk own fire was so very much smaller that it looked like one coal,0.09844337061519474,0.20833333333333334,0.05283690233766046,0.2048493614955823,0.7669745321787148,1.0,0.45918218014959855,2.39189701773691,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.8677718098578093,-1.0,-0.6384177129526672,-0.9719412865940286,,,,,,,,,,,,,,,,,
50,51,"50,""But he couldn't replenish it, for Scrooge kept the coal-box in his own room; and so surely as the clerk came in with the shovel, the master predicted that it would be necessary for them to part.""",0.8,1,0,2,199,37,he could not replenish it for scrooge kept the coal box in his own room and so surely as the clerk came in with the shovel the master predicted that it would be necessary for them to part,0.5850945207588606,0.6666666666666667,0.17094558612332525,0.37212732429265044,0.7669745321787148,1.0,0.2512459928934461,1.357842646383477,-0.13251522564743914,0.0,-0.08000713078384815,0.0,1.2193561477199704,2.0,0.3962052421044374,1.1035118309289673,,,,,,,,,,,,,,,,,
51,52,"51,""Wherefore the clerk put on his white comforter, and tried to warm himself at the candle; in which effort, not being a man of a strong imagination, he failed.""",0.9,1,1,2,162,29,the clerk put on his white comforter and tried to warm himself at the candle in which effort not being a man of a strong imagination he failed,0.6735765480577088,0.75,0.2853022071595914,0.534091220478451,0.7669745321787148,1.0,0.32654311964718213,1.7322908080886756,0.22537821196021987,0.5,0.08414194857171424,0.3176525932023992,1.2193561477199704,2.0,0.5479062387902509,1.4078239525226157,,,,,,,,,,,,,,,,,
52,53,"52,""""""A merry Christmas, uncle! God save you!"""" cried a cheerful voice.""",1.25,2,6,4,72,11,merry christmas uncle god save you cried a cheerful voice,0.9832636436036781,1.0416666666666667,1.288223868532826,1.9545345526894569,1.543383628067298,2.0,1.8138837252436026,9.128747746167571,2.0148453999985145,3.0,2.5150690501997297,5.021853803161635,2.610774786105157,4.0,3.544448895964928,7.418886986863048,,,,,,,,,,,,,,,,,
53,54,"53,""It was the voice of Scrooge's nephew, who came upon him so quickly that this was the first intimation he had of his approach.""",0.0,0,0,0,130,24,was the voice of scrooge own nephew who came upon him so quickly that this was the first intimation he had of his approach,-0.12276169763192607,0.0,-0.09179953426175227,0.0,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.13251522564743914,0.0,-0.08000713078384815,0.0,-0.17206249066521606,0.0,-0.15390049712749404,0.0,,,,,,,,,,,,,,,,,
54,55,"54,""""""Bah!"""" said Scrooge, """"Humbug!""""""",-0.25,0,-2,-1,39,4,said scrooge humbug,-0.3439667658790469,-0.20833333333333334,-0.8496078965943363,-1.0732880511277267,-0.009434563709868416,0.0,-0.021800212997289025,0.0,-0.8483021008627571,-1.0,-2.45505191487605,-4.596060712619252,-0.8677718098578093,-1.0,-2.692480722685322,-5.092390631256993,,,,,,,,,,,,,,,,,
